V_GS,V_DS,I_DS
値,値,値
0,0,0
0,0.3596,0.73
0,0.1493,0.32
0,0.2456,0.5
0,0.4992,1
0,1.0368,1.6
0,1.5149,1.8
0,2.0245,1.9
0,2.4955,1.95
0,3.0088,1.97
0,4.0079,2
0,5.065,2
0,7.508,2
0,10.079,2
0,15.04,2
0,20.036,2
0.4,0,0
0.4,0.2134,0.3
0.4,0.3415,0.45
0.4,0.5297,0.63
0.4,0.7585,0.8
0.4,1.0095,0.88
0.4,1.549,0.95
0.4,2.0268,0.95
0.4,2.5015,0.97
0.4,3.008,1
0.4,4.018,1
0.4,5.049,1
0.4,7.48,1
0.4,10.113,1
0.4,15.273,1
0.4,19.955,1
0.8,0,0
0.8,0.1834,0.17
0.8,0.2896,0.2
0.8,0.385,0.24
0.8,0.5162,0.27
0.8,0.78,0.3
0.8,1.0017,0.3
0.8,1.5069,0.31
0.8,2.012,0.31
0.8,3.1124,0.315
0.8,4.0185,0.32
0.8,5.0375,0.32
0.8,7.51,0.32
0.8,10.223,0.322
0.8,14.905,0.325
0.8,19.98,0.33
1.2,0,0
1.2,0.1725,0.017
1.2,0.2627,0.018
1.2,0.3633,0.018
1.2,0.5185,0.019
1.2,0.7776,0.019
1.2,1.0583,0.019
1.2,2.0006,0.02
1.2,3.032,0.02
1.2,5.212,0.02
1.2,7.553,0.02
1.2,9.997,0.0205
1.2,10.056,0.021
1.2,15.051,0.022
1.2,17.606,0.023
1.6,0,0
1.6,0.1508,0
1.6,0.38,0
1.6,0.503,0
1.6,0.7581,0
1.6,1.0066,0.00005
1.6,1.502,0.0001
1.6,2.0604,0.0002
1.6,3.0727,0.00025
1.6,4.0164,0.0004
1.6,5.0085,0.0005
1.6,6.156,0.0009
1.6,6.987,0.001
1.6,7.969,0.00125
1.6,9.043,0.0015
1.6,10.13,0.00175
1.6,11.017,0.0019
1.6,12.046,0.002
1.6,13.07,0.00225
1.6,14.006,0.0025
1.6,15.004,0.0027
1.6,16.3,0.0029
1.6,17.103,0.003
1.6,18.002,0.00325
1.6,19.137,0.0035
1.6,20.26,0.0037
2,0,0
2,0.184,0
2,0.541,0
2,1.0136,0.00005
2,2.1206,0.0002
2,2.995,0.00025
2,4.019,0.00045
2,5.044,0.0006
2,6.032,0.0009
2,7.019,0.0011
2,8.002,0.00125
2,9.104,0.0015
2,10.138,0.0017
2,11.116,0.0019
2,12.045,0.0021
2,13.04,0.0023
2,14.066,0.0025
2,15.093,0.0027
2,16.027,0.0029
2,16.991,0.0031
2,18.02,0.0032
2,19.016,0.0035
2,20.052,0.0037